Name,S-BERT_Similarity,Jaccard_Similarity,Combined_Score
ABU,0.6387929,0.06451612903225806,0.9580644863267098
YG,0.57787293,0.06504065040650407,0.9088434510599307
AAN,0.5778729,0.06504065040650407,0.9088433914552859
BTO,0.536068,0.06349206349206349,0.8615160555120498
XK,0.5210569,0.06451612903225806,0.8557408052106057
AFX,0.5210569,0.06451612903225806,0.8557408052106057
ZO,0.5210569,0.06451612903225806,0.8557408052106057
WU,0.5079824,0.06451612903225806,0.84437783533527
AHK,0.5079824,0.06451612903225806,0.84437783533527
YY,0.5079824,0.06451612903225806,0.84437783533527
BGH,0.60104525,0.05172413793103448,0.8344351318375818
ZA,0.5005082,0.06306306306306306,0.8275652931617186
WG,0.43694592,0.07042253521126761,0.8245759308338165
WK,0.59499806,0.05,0.8169381725788116
ACN,0.51362586,0.057971014492753624,0.8028122393117434
XN,0.6353063,0.042682926829268296,0.8000186293590359
ZR,0.6353063,0.042682926829268296,0.8000186293590359
AGA,0.63530624,0.042682926829268296,0.8000185697543911
AGL,0.51576924,0.05555555555555555,0.78752527501848
AAD,0.51576924,0.05555555555555555,0.78752527501848
XW,0.51576924,0.05555555555555555,0.78752527501848
AHH,0.5581706,0.04964539007092199,0.7824139101285461
YQ,0.55817056,0.04964539007092199,0.7824138505239013
YV,0.55817056,0.04964539007092199,0.7824138505239013
YU,0.55817056,0.04964539007092199,0.7824138505239013
AAM,0.52964336,0.05263157894736842,0.7788229713314457
YF,0.52964336,0.05263157894736842,0.7788229713314457
AGU,0.52964336,0.05263157894736842,0.7788229713314457
XJ,0.4082813,0.06741573033707865,0.7783153483037197
ZN,0.4082813,0.06741573033707865,0.7783153483037197
AFW,0.4082813,0.06741573033707865,0.7783153483037197
ABI,0.4871321,0.056,0.7657924641132354
BTL,0.43788123,0.061855670103092786,0.7645640469088997
BHB,0.49514902,0.05426356589147287,0.7604312370913897
BIZ,0.49514902,0.05426356589147287,0.7604312370913897
BKQ,0.49514902,0.05426356589147287,0.7604312370913897
AYA,0.5041398,0.05263157894736842,0.7566579410904332
AED,0.46464032,0.05699481865284974,0.7533081842827674
BBG,0.5086306,0.05128205128205128,0.7509792366088965
ACB,0.4211614,0.06190476190476191,0.7503814929439908
AEU,0.54843605,0.045454545454545456,0.7441986598751762
AFO,0.5053149,0.05,0.7389950263500213
ZJ,0.5042814,0.05,0.7380968141555786
XG,0.5042814,0.05,0.7380968141555786
WR,0.5042814,0.05,0.7380968141555786
XF,0.5042814,0.05,0.7380968141555786
XE,0.49414402,0.05,0.7292864727973938
ZI,0.49414402,0.05,0.7292864727973938
WQ,0.49414402,0.05,0.7292864727973938
AEQ,0.5073228,0.04827586206896552,0.7284986922247656
BGC,0.54152644,0.04395604395604396,0.7275541908793397
AOM,0.52369314,0.04477611940298507,0.7178779095856112
WE,0.53338724,0.043478260869565216,0.7170882007350092
AFJ,0.50506717,0.046296296296296294,0.7124834380767964
EB,0.52247643,0.04411764705882353,0.712145309939104
ACU,0.58279413,0.0365296803652968,0.7106924950532172
AEW,0.54247177,0.04126984126984127,0.7093037124285622
AWV,0.51599,0.04430379746835443,0.7078296599508841
ACQ,0.45994854,0.050761421319796954,0.7049734796666857
ZL,0.40974945,0.05673758865248227,0.7037764989737922
XT,0.50463164,0.04504504504504504,0.7032210348962663
BXE,0.34741294,0.06382978723404255,0.6999548081387864
AFE,0.56709456,0.03676470588235294,0.6987168087678797
AGH,0.4233302,0.05405405405405406,0.6965263448856973
ZZ,0.4233302,0.05405405405405406,0.6965263448856973
XR,0.4233302,0.05405405405405406,0.6965263448856973
BTM,0.5469166,0.038461538461538464,0.6932277693198278
BZA,0.46720105,0.04807692307692308,0.6922166439203116
DW,0.4380067,0.05136986301369863,0.6902238632718177
AEP,0.51294285,0.04201680672268908,0.6889437614869671
CLE,0.43658942,0.05128205128205128,0.6883686699928382
BCW,0.4909176,0.0440251572327044,0.6840610184384592
ZU,0.42657173,0.05172413793103448,0.6828011539475671
AGD,0.42657167,0.05172413793103448,0.6828010943429224
ABG,0.41542464,0.05263157894736842,0.6795561144226475
ACV,0.3963287,0.0546448087431694,0.6772538478908643
BH,0.47166508,0.04524886877828054,0.6760171247283797
AGW,0.4345134,0.049773755656108594,0.6758554788466492
WT,0.45798975,0.04678362573099415,0.6750287329244334
AHJ,0.45798975,0.04678362573099415,0.6750287329244334
YX,0.45798975,0.04678362573099415,0.6750287329244334
BTP,0.4934276,0.04242424242424243,0.6748759638901913
HU,0.5029591,0.0410958904109589,0.6737283989174725
TF,0.46574128,0.045454545454545456,0.6723290779373863
AFZ,0.4951516,0.04142011834319527,0.6692449946727979
ZQ,0.4951516,0.04142011834319527,0.6692449946727979
XM,0.4951516,0.04142011834319527,0.6692449946727979
BLE,0.5441566,0.03535353535353535,0.6687622477309871
BJM,0.5441566,0.03535353535353535,0.6687622477309871
BHO,0.5441566,0.03535353535353535,0.6687622477309871
CDR,0.5213986,0.03787878787878788,0.6669126631635608
CIG,0.5213986,0.03787878787878788,0.6669126631635608
CBT,0.5213986,0.03787878787878788,0.6669126631635608
BTI,0.5111003,0.03867403314917127,0.6636087009261327
BTF,0.40338236,0.05181347150259067,0.6632816613955819
BUK,0.48325455,0.041666666666666664,0.6606558402379353
AID,0.4772881,0.0423728813559322,0.660484539250196
ACP,0.48211262,0.041666666666666664,0.6596633931001027
ARE,0.4729008,0.0427807486631016,0.6595674284001722
OY,0.48198846,0.041666666666666664,0.6595554788907368
ADR,0.5031214,0.0390625,0.6594323813915253
AAB,0.46621835,0.043478260869565216,0.6587120970954066
XU,0.46621835,0.043478260869565216,0.6587120970954066
AGJ,0.46621835,0.043478260869565216,0.6587120970954066
GP,0.3776451,0.05405405405405406,0.6568216942452096
AEX,0.5091788,0.03787878787878788,0.6562925161737384
APV,0.52817225,0.035175879396984924,0.6536089550909685
AEO,0.4301965,0.047058823529411764,0.6528276761840371
IT,0.44202054,0.04504504504504504,0.6488060771345018
BKT,0.5390977,0.03303303303303303,0.6478900340405312
BJC,0.5390977,0.03303303303303303,0.6478900340405312
BHE,0.5390977,0.03303303303303303,0.6478900340405312
BPO,0.5080646,0.03625377643504532,0.6437865978641453
BVH,0.38267377,0.05150214592274678,0.6430735378817939
