Feature,Importance
javascript,0.02748626413665561
end developer,0.016702739310864738
database,0.014687294954780888
javascript year,0.01407085715613566
bootstrap,0.013382012606374349
technology,0.012414749331917729
performed,0.012280832698905474
web,0.012023888446860323
data,0.01183562081383882
git,0.01173784203220618
procedure,0.011506463838573169
database administrator,0.010959112824014525
security,0.01004911701225349
monitor,0.00991854964273812
oracle database,0.009147478068178356
html,0.008784776940974983
year javascript,0.008130768975918546
index,0.007975693060952506
tuning,0.007785617971746852
cs,0.00742907807652831
