Rank,Applicant_ID,Similarity_Score
1,BQN,0.9449
2,XK,0.9422
3,AFX,0.9416
4,ZO,0.9415
5,XT,0.939
6,BRC,0.9385
7,BTM,0.9368
8,FI,0.9365
9,BUW,0.9363
10,BTF,0.9324
11,ACT,0.9324
12,ADR,0.9322
13,BNB,0.9318
14,JV,0.9308
15,BNG,0.9293
16,ADO,0.9289
17,ADA,0.9285
18,BGI,0.9278
19,II,0.9266
20,ZP,0.9255
21,AFY,0.9252
22,AFK,0.9248
23,TU,0.9246
24,ZI,0.9246
25,BAG,0.9245
26,XE,0.9244
27,BRI,0.9242
28,WQ,0.9241
29,CON,0.9236
30,BSK,0.9235
31,BTN,0.9235
32,XL,0.9234
33,BEZ,0.9229
34,BNR,0.9225
35,COP,0.9222
36,BRK,0.9218
37,ACP,0.9218
38,AAN,0.9212
39,BGC,0.9207
40,BOC,0.9205
41,CKU,0.9204
42,BPC,0.9203
43,YG,0.9203
44,BSY,0.9202
45,BRY,0.9201
46,BOO,0.9197
47,BCU,0.9196
48,AAU,0.9195
49,ACO,0.9195
50,BVZ,0.9194
51,AUN,0.9194
52,AAS,0.9191
53,AKJ,0.9189
54,AHD,0.9187
55,BMP,0.9185
56,YL,0.9183
57,BQX,0.9183
58,WK,0.9181
59,AFJ,0.9177
60,BQH,0.9176
61,BME,0.9175
62,BCC,0.9174
63,CML,0.9168
64,WM,0.9165
65,AB,0.9161
66,CIU,0.9156
67,AWP,0.9156
68,BRJ,0.9155
69,WI,0.9155
70,CEF,0.9155
71,CEZ,0.9154
72,BRV,0.9151
73,ADF,0.915
74,RY,0.915
75,AFG,0.915
76,CCH,0.9149
77,BNY,0.9148
78,BTS,0.9147
79,CGA,0.9147
80,AXU,0.9147
81,BTL,0.9145
82,AFT,0.9143
83,AYK,0.9142
84,AZX,0.9142
85,BQL,0.9141
86,BTO,0.914
87,BD,0.914
88,ADY,0.9138
89,AOS,0.9138
90,BUZ,0.9138
91,BDY,0.9136
92,BRZ,0.9133
93,BOD,0.9132
94,CAM,0.9131
95,EX,0.9125
96,BJG,0.9125
97,BUP,0.9124
98,NZ,0.9124
99,B,0.9123
100,BHI,0.9123
101,CFX,0.9122
102,BQI,0.9122
103,BTE,0.912
104,BWD,0.9116
105,ABO,0.9116
106,BKY,0.9115
107,ADJ,0.9114
108,AL,0.9114
109,CCU,0.9113
110,BDE,0.9112
111,CHJ,0.9112
112,OX,0.9112
113,ACU,0.9111
114,BQJ,0.9111
115,CET,0.911
116,CIF,0.9107
117,BPS,0.9107
118,ARB,0.9105
119,CBS,0.9101
120,AAD,0.91
121,ABU,0.9099
122,XW,0.9099
123,CHA,0.9099
124,CAW,0.9098
125,CDQ,0.9098
126,K,0.9097
127,AEN,0.9096
128,ABW,0.9095
129,ADV,0.9093
130,BNK,0.9093
131,DX,0.9093
132,AGL,0.909
133,CKF,0.9089
134,AVB,0.9086
135,BUN,0.9084
136,AEJ,0.9081
137,BPO,0.9081
138,AEW,0.908
139,ARG,0.9077
140,AAP,0.9076
141,DL,0.9075
142,YH,0.9075
143,AKP,0.9074
144,MZ,0.9073
145,BGL,0.9073
146,CHE,0.9072
147,BMC,0.9071
148,AKZ,0.9071
149,BSW,0.9069
150,CNJ,0.9067
151,CAR,0.9066
152,BRF,0.9066
153,BOH,0.9066
154,CEO,0.9065
155,BQT,0.9065
156,LR,0.9065
157,BPA,0.9065
158,AXB,0.9063
159,BEN,0.9063
160,AGX,0.9061
161,AXN,0.906
162,AEP,0.906
163,ABG,0.9059
164,BTD,0.9059
165,BES,0.9058
166,IH,0.9057
167,BQW,0.9056
168,BDZ,0.9055
169,BDX,0.9054
170,CCP,0.9054
171,ADX,0.9054
172,BSD,0.9054
173,WC,0.9054
174,CKD,0.9053
175,BOT,0.9052
176,BMI,0.9052
177,BSJ,0.9052
178,BBN,0.9052
179,AGD,0.9051
180,KC,0.9051
181,AFF,0.9051
182,BCI,0.905
183,ZU,0.9049
184,BOG,0.9049
185,HP,0.9048
186,ATF,0.9048
187,BSP,0.9047
188,WX,0.9047
189,BSC,0.9047
190,ALK,0.9046
191,BOI,0.9046
192,ZV,0.9045
193,XO,0.9044
194,AFZ,0.9044
195,BPM,0.9044
196,AUV,0.9042
197,ATY,0.9042
198,AMH,0.9042
199,AGE,0.9042
200,BFP,0.9041
201,ZQ,0.9041
202,BVB,0.904
203,BCS,0.904
204,BHN,0.9038
205,BLD,0.9038
206,BMZ,0.9038
207,BSE,0.9037
208,XM,0.9037
209,AYV,0.9037
210,JY,0.9034
211,BON,0.9033
212,BBG,0.9033
213,ZR,0.9032
214,BJL,0.9031
215,ATX,0.9031
216,BPQ,0.903
217,XI,0.9029
218,IZ,0.9027
219,XN,0.9026
220,CAA,0.9026
221,BC,0.9026
222,AK,0.9026
223,AGA,0.9026
224,YR,0.9025
225,CGK,0.9025
226,BRX,0.9025
227,BGX,0.9024
228,Y,0.9024
229,BOB,0.9021
230,AEY,0.9021
231,APY,0.902
232,LX,0.902
233,AAY,0.9019
234,YM,0.9018
235,BSU,0.9017
236,BVT,0.9017
237,BOF,0.9017
238,BQD,0.9016
239,CGE,0.9016
240,CHV,0.9016
241,OJ,0.9015
242,CFV,0.9015
243,CBI,0.9014
244,CDG,0.9014
245,JA,0.9014
246,BWY,0.9012
247,BYW,0.9012
248,ABR,0.9011
249,HI,0.9011
250,JH,0.901
251,BSB,0.9009
252,AGF,0.9009
253,ZX,0.9008
254,ANG,0.9008
255,BBW,0.9008
256,BIV,0.9007
257,CDJ,0.9007
258,AIQ,0.9007
259,ABH,0.9006
260,AZG,0.9005
261,BEI,0.9005
262,CHY,0.9004
263,BBV,0.9004
264,BCW,0.9003
265,AWN,0.9002
266,BNF,0.9002
267,JL,0.9001
268,ATI,0.9001
269,AWD,0.9001
270,AKK,0.9
271,BOY,0.9
272,APZ,0.8999
273,CBL,0.8999
274,XP,0.8999
275,AIX,0.8999
276,AEI,0.8998
277,BSL,0.8997
278,CM,0.8997
279,MU,0.8996
280,AOJ,0.8996
281,BTP,0.8995
282,BNT,0.8994
283,BNI,0.8993
284,AAK,0.8992
285,YC,0.8992
286,CEJ,0.8992
287,CFD,0.8991
288,AGS,0.8991
289,ABX,0.8991
290,BYF,0.899
291,CIY,0.899
292,CJA,0.899
293,BVX,0.8989
294,ADB,0.8988
295,U,0.8988
296,BQQ,0.8988
297,ACS,0.8987
298,CCL,0.8987
299,BPX,0.8986
300,TN,0.8985
301,BFG,0.8985
302,TO,0.8985
303,Z,0.8985
304,BPR,0.8985
305,BNC,0.8984
306,AHV,0.8984
307,IW,0.8983
308,UH,0.8982
309,BVW,0.8982
310,CGM,0.8982
311,CGL,0.8981
312,AJN,0.8979
313,LN,0.8978
314,AJS,0.8978
315,CGX,0.8976
316,BWH,0.8976
317,ADT,0.8976
318,BMW,0.8976
319,BNE,0.8975
320,KD,0.8975
321,AAX,0.8975
322,AOK,0.8975
323,AYQ,0.8974
324,AEK,0.8974
325,BUY,0.8974
326,ANO,0.8974
327,BBE,0.8974
328,AUZ,0.8974
329,UI,0.8973
330,BXL,0.8972
331,BQE,0.8971
332,LA,0.8971
333,BOP,0.8971
334,ND,0.8969
335,CDA,0.8969
336,CHP,0.8969
337,NI,0.8969
338,AFB,0.8969
339,AVP,0.8969
340,AWZ,0.8968
341,RV,0.8968
342,QC,0.8967
343,BUX,0.8967
344,CGB,0.8966
345,BCA,0.8965
346,AWS,0.8964
347,DI,0.8964
348,CDE,0.8963
349,DE,0.8963
350,AYL,0.8962
351,AWM,0.8962
352,CGC,0.8961
353,AQI,0.896
354,CKZ,0.896
355,CMM,0.8959
356,CHT,0.8959
357,AKT,0.8959
358,AUF,0.8957
359,AMT,0.8957
360,BVE,0.8956
361,BTR,0.8956
362,CGS,0.8954
363,LG,0.8954
364,COK,0.8953
365,AXY,0.8953
366,WO,0.8953
367,CBC,0.8953
368,ACN,0.8953
369,BUR,0.8952
370,CBG,0.8952
371,CJQ,0.8952
372,AZZ,0.8951
373,SN,0.895
374,WE,0.895
375,BRQ,0.8949
376,KM,0.8949
377,BHO,0.8949
378,CGV,0.8948
379,QR,0.8948
380,BBR,0.8948
381,AFU,0.8947
382,BJM,0.8947
383,AYW,0.8947
384,BVC,0.8946
385,ZK,0.8946
386,ZN,0.8946
387,ZG,0.8946
388,CEE,0.8946
389,CMW,0.8945
390,PZ,0.8944
391,BTB,0.8944
392,ZM,0.8944
393,BLE,0.8944
394,KZ,0.8943
395,XH,0.8943
396,XC,0.8943
397,XJ,0.8943
398,CEY,0.8942
399,AFW,0.8942
400,AFV,0.8941
401,BXI,0.8941
402,BNH,0.8941
403,CNG,0.8941
404,BWB,0.8941
405,AVE,0.894
406,BBK,0.8939
407,AHQ,0.8939
408,KF,0.8938
409,BBQ,0.8938
410,KL,0.8937
411,CKM,0.8937
412,CCG,0.8935
413,CAP,0.8934
414,CHC,0.8934
415,CIT,0.8934
416,CLU,0.8932
417,AAW,0.8932
418,CHB,0.8932
419,LW,0.8931
420,AUJ,0.893
421,AMX,0.893
422,CLH,0.893
423,CMF,0.8929
424,BGU,0.8929
425,BBD,0.8928
426,CCN,0.8928
427,TF,0.8928
428,CEM,0.8928
429,BAA,0.8928
430,CMZ,0.8926
431,BWJ,0.8926
432,UD,0.8925
433,IT,0.8925
434,OF,0.8924
435,TD,0.8924
436,ARE,0.8923
437,QH,0.8923
438,FG,0.8923
439,OD,0.8922
440,GB,0.8922
441,ZJ,0.8921
442,BUI,0.892
443,AQW,0.8919
444,BBF,0.8919
445,BMX,0.8919
446,OV,0.8919
447,AVW,0.8918
448,CIE,0.8918
449,ZW,0.8918
450,DF,0.8918
451,AAH,0.8918
452,BXT,0.8917
453,XF,0.8917
454,CKA,0.8917
455,AHK,0.8917
456,BVU,0.8917
457,ALH,0.8916
458,AVG,0.8916
459,AXX,0.8915
460,QI,0.8915
461,RZ,0.8915
462,BDH,0.8913
463,BPE,0.8913
464,CDO,0.8912
465,XG,0.8912
466,AHZ,0.8912
467,BVY,0.8912
468,LD,0.8912
469,FS,0.8912
470,BAQ,0.8911
471,CMS,0.8911
472,LT,0.8911
473,CMN,0.8911
474,CBR,0.891
475,BPK,0.891
476,CQ,0.891
477,BOM,0.891
478,QT,0.8909
479,BUU,0.8909
480,AJF,0.8909
481,CAQ,0.8909
482,GC,0.8908
483,APV,0.8908
484,AOM,0.8908
485,CBQ,0.8908
486,BMO,0.8907
487,CHO,0.8907
488,CBB,0.8907
489,BSI,0.8906
490,RE,0.8906
491,WU,0.8906
492,CCZ,0.8904
493,ACA,0.8904
494,AZC,0.8904
495,BXV,0.8903
496,ES,0.8903
497,CCO,0.8903
498,CHD,0.8903
499,YY,0.8903
500,BPI,0.8903
501,BMJ,0.8902
502,CGG,0.8902
503,BIS,0.8902
504,CKC,0.8902
505,CDL,0.8902
506,AWR,0.8902
507,BUT,0.8901
508,BYS,0.89
509,CIK,0.89
510,IA,0.8899
511,JS,0.8899
512,CID,0.8898
513,VL,0.8898
514,BHG,0.8897
515,WR,0.8897
516,JD,0.8897
517,CEN,0.8896
518,BMB,0.8896
519,BJE,0.8896
520,BCT,0.8895
521,CLE,0.8895
522,BWR,0.8895
523,CAG,0.8895
524,ADM,0.8895
525,ATD,0.8894
526,BKV,0.8893
527,CAJ,0.8893
528,CBX,0.8893
529,CNE,0.8893
530,CIH,0.8893
531,ALA,0.8892
532,CKB,0.8892
533,CDV,0.8892
534,YE,0.8892
535,EI,0.8892
536,AJD,0.8892
537,AXD,0.8891
538,IF,0.8891
539,BPH,0.889
540,BEG,0.889
541,MJ,0.8889
542,CGW,0.8889
543,COI,0.8889
544,AWA,0.8889
545,ANA,0.8888
546,CBU,0.8888
547,CDP,0.8887
548,BK,0.8887
549,AUK,0.8887
550,ATW,0.8886
551,AOB,0.8886
552,CDS,0.8886
553,SD,0.8886
554,QY,0.8883
555,ADZ,0.8883
556,BVG,0.8883
557,AHW,0.8883
558,CGZ,0.8883
559,ARM,0.8882
560,AUT,0.8882
561,AFQ,0.8881
562,QZ,0.8881
563,BAW,0.8881
564,AYA,0.888
565,AKR,0.8879
566,CBN,0.8879
567,AQP,0.8879
568,AJM,0.8878
569,BUB,0.8878
570,BUC,0.8877
571,SI,0.8877
572,BUJ,0.8877
573,CIS,0.8877
574,SX,0.8876
575,CIA,0.8876
576,ARN,0.8875
577,BDM,0.8873
578,AHE,0.8873
579,BVA,0.8872
580,AMY,0.8872
581,CNW,0.8872
582,ABN,0.8871
583,BTK,0.8871
584,ADG,0.8871
585,UM,0.887
586,BJC,0.887
587,AAO,0.8869
588,ABP,0.8869
589,YB,0.8869
590,AYY,0.8869
591,AAJ,0.8869
592,AVC,0.8869
593,AFS,0.8869
594,BAB,0.8869
595,AUU,0.8869
596,AGR,0.8869
597,SH,0.8869
598,OH,0.8868
599,COC,0.8868
600,CHN,0.8868
601,CBA,0.8868
602,AHF,0.8866
603,CEW,0.8866
604,AMC,0.8866
605,ACV,0.8865
606,CGH,0.8865
607,CIR,0.8865
608,AEZ,0.8865
609,BUD,0.8865
610,CCY,0.8865
611,COD,0.8865
612,BVN,0.8865
613,YN,0.8865
614,AKI,0.8864
615,NM,0.8864
616,AGV,0.8863
617,YS,0.8863
618,CEC,0.8863
619,CCE,0.8863
620,SF,0.8863
621,BHZ,0.8862
622,AVR,0.8862
623,BJX,0.8862
624,JG,0.8861
625,BUO,0.886
626,ASC,0.886
627,BHE,0.886
628,CLS,0.8859
629,AZI,0.8859
630,ALN,0.8859
631,AHM,0.8859
632,ADE,0.8859
633,AGW,0.8858
634,BWT,0.8857
635,AMM,0.8857
636,IR,0.8857
637,US,0.8856
638,ZB,0.8856
639,ID,0.8856
640,WN,0.8855
641,XB,0.8854
642,BTW,0.8854
643,BLP,0.8854
644,IM,0.8854
645,CDR,0.8854
646,ZF,0.8853
647,LZ,0.8853
648,CBT,0.8853
649,AVY,0.8853
650,TI,0.8853
651,MT,0.8853
652,WW,0.8853
653,CJB,0.8853
654,CIG,0.8852
655,KB,0.8852
656,APM,0.8851
657,AOW,0.8851
658,OQ,0.885
659,OS,0.885
660,BNJ,0.885
661,CGT,0.8849
662,BKT,0.8849
663,AIM,0.8848
664,RF,0.8848
665,ABC,0.8848
666,HH,0.8848
667,BQO,0.8847
668,CJM,0.8847
669,CMA,0.8846
670,AAM,0.8846
671,ATU,0.8845
672,BVO,0.8845
673,AMK,0.8844
674,BYQ,0.8844
675,CFE,0.8844
676,YF,0.8843
677,CAH,0.8843
678,CFF,0.8843
679,CGN,0.8843
680,UF,0.8843
681,CFS,0.8842
682,BXM,0.8842
683,KV,0.8842
684,BMU,0.8842
685,CLQ,0.8842
686,AOX,0.8841
687,AVO,0.8841
688,YD,0.8841
689,CGF,0.8841
690,CEX,0.884
691,BXS,0.884
692,AFL,0.8839
693,XZ,0.8839
694,ADH,0.8839
695,BT,0.8839
696,AGU,0.8839
697,BEH,0.8839
698,MR,0.8838
699,GX,0.8838
700,BAI,0.8838
701,AAG,0.8838
702,AZL,0.8837
703,AGN,0.8837
704,AGP,0.8836
705,CNL,0.8836
706,BCR,0.8836
707,VH,0.8835
708,BGG,0.8835
709,NL,0.8835
710,CED,0.8835
711,AMU,0.8834
712,AQR,0.8834
713,CCF,0.8832
714,AXL,0.8831
715,UQ,0.8831
716,DK,0.8831
717,AYZ,0.883
718,WA,0.883
719,KE,0.883
720,OI,0.883
721,GY,0.8829
722,CFU,0.8828
723,ABI,0.8828
724,WJ,0.8828
725,AWB,0.8828
726,AOQ,0.8826
727,YP,0.8825
728,BMH,0.8825
729,ACY,0.8824
730,EQ,0.8824
731,ANF,0.8824
732,BVK,0.8823
733,NS,0.8822
734,ATE,0.8822
735,UN,0.8822
736,AXG,0.8821
737,UL,0.8821
738,PS,0.8821
739,AAI,0.8821
740,AIZ,0.8821
741,BTC,0.882
742,BQV,0.882
743,BUF,0.882
744,AII,0.882
745,BZF,0.8819
746,CGU,0.8819
747,CEQ,0.8819
748,AGQ,0.8818
749,AOT,0.8818
750,BCJ,0.8817
751,DD,0.8816
752,BFK,0.8816
753,AAL,0.8816
754,ADI,0.8816
755,CMY,0.8816
756,FF,0.8815
757,AIP,0.8815
758,ARQ,0.8815
759,BEC,0.8814
760,QJ,0.8814
761,JK,0.8814
762,AWH,0.8814
763,AGT,0.8813
764,QU,0.8813
765,CHG,0.8813
766,AVX,0.8813
767,CKT,0.8813
768,APF,0.8812
769,BRA,0.8812
770,AVF,0.8812
771,AYT,0.8811
772,BWM,0.8811
773,ALU,0.8811
774,AJJ,0.8811
775,ART,0.8811
776,ANE,0.881
777,TH,0.881
778,CJO,0.881
779,CBJ,0.8809
780,GG,0.8809
781,LJ,0.8809
782,ARA,0.8809
783,AAV,0.8809
784,BUH,0.8809
785,CGP,0.8809
786,AWO,0.8808
787,CDH,0.8807
788,CHW,0.8807
789,JT,0.8807
790,APE,0.8806
791,ACK,0.8806
792,KW,0.8805
793,LO,0.8805
794,CME,0.8805
795,AEC,0.8805
796,HJ,0.8804
797,AOI,0.8804
798,TA,0.8804
799,LK,0.8804
800,ABM,0.8803
801,BEM,0.8803
802,PM,0.8803
803,ANM,0.8803
804,BSZ,0.8803
805,GF,0.8803
806,AED,0.8803
807,ARL,0.8803
808,BBJ,0.8802
809,VG,0.8802
810,CCR,0.8802
811,ADQ,0.8801
812,GU,0.8801
813,CNI,0.8801
814,AET,0.8801
815,AJW,0.8801
816,VV,0.88
817,OL,0.88
818,AKL,0.88
819,RP,0.88
820,YA,0.8799
821,BRE,0.8799
822,AEO,0.8799
823,BSO,0.8798
824,UP,0.8798
825,SE,0.8797
